# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
17,Flop,1,441,-441,FOLD,0,"['3s', '4h']","['5d', '4s']","['6s', '2s', '9h']",,Ad,100,100
18,Pre-Flop,0,541,-541,RAISE,98,"['2s', '8d']","['7s', '2h']","['5s', '3d']",,,1,1
18,Pre-Flop,1,541,-541,FOLD,0,"['2s', '8d']","['7s', '2h']","['5s', '3d']",,,2,2
19,Pre-Flop,1,543,-543,FOLD,0,"['2d', '7d']","['As', '7s']","['8d', '9h']",,,1,1
20,Pre-Flop,0,544,-544,RAISE,98,"['Ad', 'Ah']","['6h', '9s']","['5h', '7s']",,,1,1
20,Pre-Flop,1,544,-544,FOLD,0,"['Ad', 'Ah']","['6h', '9s']","['5h', '7s']",,,2,2
21,Pre-Flop,1,546,-546,DISCARD,0,"['4s', 'Ad']","['2s', '9s']","['9d', '6h']",,,1,1
21,Pre-Flop,1,546,-546,RAISE,58,"['4s', 'Ad']","['7h', '9s']","['9d', '6h']",,2s,1,1
21,Pre-Flop,0,546,-546,RAISE,40,"['4s', 'Ad']","['7h', '9s']","['9d', '6h']",,2s,2,2
21,Pre-Flop,1,546,-546,FOLD,0,"['4s', 'Ad']","['7h', '9s']","['9d', '6h']",,2s,60,60
22,Pre-Flop,0,606,-606,RAISE,98,"['2h', '3s']","['6h', '3d']","['8s', '5h']",,,1,1
22,Pre-Flop,1,606,-606,DISCARD,0,"['2h', '3s']","['6h', '3d']","['8s', '5h']",,,2,2
22,Pre-Flop,1,606,-606,CALL,0,"['2h', '3s']","['6h', '7d']","['8s', '5h']",,3d,2,2
22,Flop,0,606,-606,CHECK,0,"['2h', '3s']","['6h', '7d']","['8s', '5h', 'Ad']",,3d,100,100
22,Flop,1,606,-606,FOLD,0,"['2h', '3s']","['6h', '7d']","['8s', '5h', 'Ad']",,3d,100,100
23,Pre-Flop,1,706,-706,CALL,0,"['9d', '3h']","['5d', '7h']","['9h', 'As']",,,1,1
23,Pre-Flop,0,706,-706,RAISE,98,"['9d', '3h']","['5d', '7h']","['9h', 'As']",,,2,2
23,Pre-Flop,1,706,-706,CALL,0,"['9d', '3h']","['5d', '7h']","['9h', 'As']",,,2,2
23,Pre-Flop,0,706,-706,CHECK,0,"['9d', '3h']","['5d', '7h']","['9h', 'As']",,,100,100
23,Flop,1,706,-706,FOLD,0,"['9d', '3h']","['5d', '7h']","['9h', 'As', '7d']",,,100,100
24,Pre-Flop,0,806,-806,RAISE,98,"['4s', '5h']","['2d', '7s']","['8d', '9s']",,,1,1
24,Pre-Flop,1,806,-806,CALL,0,"['4s', '5h']","['2d', '7s']","['8d', '9s']",,,2,2
24,Flop,0,806,-806,CHECK,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d']",,,100,100
24,Flop,1,806,-806,CHECK,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d']",,,100,100
24,Turn,0,806,-806,CHECK,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d', '4d']",,,100,100
24,Turn,1,806,-806,CHECK,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d', '4d']",,,100,100
24,River,0,806,-806,CHECK,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d', '4d', '5s']",,,100,100
24,River,1,806,-806,FOLD,0,"['4s', '5h']","['2d', '7s']","['8d', '9s', '5d', '4d', '5s']",,,100,100
25,Pre-Flop,1,906,-906,CALL,0,"['9d', '6d']","['7s', '5h']","['3d', '2s']",,,1,1
25,Pre-Flop,0,906,-906,RAISE,98,"['9d', '6d']","['7s', '5h']","['3d', '2s']",,,2,2
25,Pre-Flop,1,906,-906,DISCARD,0,"['9d', '6d']","['7s', '5h']","['3d', '2s']",,,2,2
25,Pre-Flop,1,906,-906,CALL,0,"['9d', '6d']","['2h', '5h']","['3d', '2s']",,7s,2,2
25,Pre-Flop,0,906,-906,CHECK,0,"['9d', '6d']","['2h', '5h']","['3d', '2s']",,7s,100,100
25,Flop,1,906,-906,CHECK,0,"['9d', '6d']","['2h', '5h']","['3d', '2s', '5s']",,7s,100,100
25,Flop,0,906,-906,CHECK,0,"['9d', '6d']","['2h', '5h']","['3d', '2s', '5s']",,7s,100,100
25,Turn,1,906,-906,FOLD,0,"['9d', '6d']","['2h', '5h']","['3d', '2s', '5s', '4h']",,7s,100,100
26,Pre-Flop,0,1006,-1006,RAISE,98,"['9h', '6d']","['8s', '4s']","['8d', '7d']",,,1,1
26,Pre-Flop,1,1006,-1006,DISCARD,0,"['9h', '6d']","['8s', '4s']","['8d', '7d']",,,2,2
26,Pre-Flop,1,1006,-1006,CALL,0,"['9h', '6d']","['8s', '5h']","['8d', '7d']",,4s,2,2
26,Flop,0,1006,-1006,CHECK,0,"['9h', '6d']","['8s', '5h']","['8d', '7d', '3s']",,4s,100,100
26,Flop,1,1006,-1006,CHECK,0,"['9h', '6d']","['8s', '5h']","['8d', '7d', '3s']",,4s,100,100
26,Turn,0,1006,-1006,CHECK,0,"['9h', '6d']","['8s', '5h']","['8d', '7d', '3s', '7h']",,4s,100,100
26,Turn,1,1006,-1006,FOLD,0,"['9h', '6d']","['8s', '5h']","['8d', '7d', '3s', '7h']",,4s,100,100
27,Pre-Flop,1,1106,-1106,DISCARD,0,"['5d', '7h']","['8s', '6d']","['7s', 'Ah']",,,1,1
27,Pre-Flop,1,1106,-1106,CALL,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah']",,6d,1,1
27,Pre-Flop,0,1106,-1106,RAISE,98,"['5d', '7h']","['8s', '7d']","['7s', 'Ah']",,6d,2,2
27,Pre-Flop,1,1106,-1106,CALL,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah']",,6d,2,2
27,Pre-Flop,0,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah']",,6d,100,100
27,Flop,1,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d']",,6d,100,100
27,Flop,0,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d']",,6d,100,100
27,Turn,1,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d', '2d']",,6d,100,100
27,Turn,0,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d', '2d']",,6d,100,100
27,River,1,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d', '2d', '6h']",,6d,100,100
27,River,0,1106,-1106,CHECK,0,"['5d', '7h']","['8s', '7d']","['7s', 'Ah', '3d', '2d', '6h']",,6d,100,100
28,Pre-Flop,0,1006,-1006,RAISE,98,"['Ad', '3h']","['8s', '6h']","['3s', '2h']",,,1,1
28,Pre-Flop,1,1006,-1006,CALL,0,"['Ad', '3h']","['8s', '6h']","['3s', '2h']",,,2,2
28,Flop,0,1006,-1006,CHECK,0,"['Ad', '3h']","['8s', '6h']","['3s', '2h', '6d']",,,100,100
28,Flop,1,1006,-1006,DISCARD,0,"['Ad', '3h']","['8s', '6h']","['3s', '2h', '6d']",,,100,100
28,Flop,1,1006,-1006,CHECK,0,"['Ad', '3h']","['8s', '7h']","['3s', '2h', '6d']",,6h,100,100
28,Turn,0,1006,-1006,CHECK,0,"['Ad', '3h']","['8s', '7h']","['3s', '2h', '6d', '4s']",,6h,100,100
28,Turn,1,1006,-1006,FOLD,0,"['Ad', '3h']","['8s', '7h']","['3s', '2h', '6d', '4s']",,6h,100,100
29,Pre-Flop,1,1106,-1106,DISCARD,0,"['7d', '9d']","['2h', '3d']","['4d', '5s']",,,1,1
29,Pre-Flop,1,1106,-1106,CALL,0,"['7d', '9d']","['9h', '3d']","['4d', '5s']",,2h,1,1
29,Pre-Flop,0,1106,-1106,RAISE,98,"['7d', '9d']","['9h', '3d']","['4d', '5s']",,2h,2,2
29,Pre-Flop,1,1106,-1106,CALL,0,"['7d', '9d']","['9h', '3d']","['4d', '5s']",,2h,2,2
29,Pre-Flop,0,1106,-1106,CHECK,0,"['7d', '9d']","['9h', '3d']","['4d', '5s']",,2h,100,100
29,Flop,1,1106,-1106,FOLD,0,"['7d', '9d']","['9h', '3d']","['4d', '5s', '9s']",,2h,100,100
30,Pre-Flop,0,1206,-1206,RAISE,98,"['9s', '4h']","['2h', '2d']","['7s', '9d']",,,1,1
30,Pre-Flop,1,1206,-1206,CALL,0,"['9s', '4h']","['2h', '2d']","['7s', '9d']",,,2,2
30,Flop,0,1206,-1206,CHECK,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s']",,,100,100
30,Flop,1,1206,-1206,CHECK,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s']",,,100,100
30,Turn,0,1206,-1206,CHECK,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s', '5d']",,,100,100
30,Turn,1,1206,-1206,CHECK,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s', '5d']",,,100,100
30,River,0,1206,-1206,CHECK,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s', '5d', '9h']",,,100,100
30,River,1,1206,-1206,FOLD,0,"['9s', '4h']","['2h', '2d']","['7s', '9d', '8s', '5d', '9h']",,,100,100
31,Pre-Flop,1,1306,-1306,FOLD,0,"['4d', '8d']","['2s', '9s']","['6d', '7d']",,,1,1
32,Pre-Flop,0,1307,-1307,RAISE,98,"['As', '2h']","['2s', '7h']","['Ah', '8h']",,,1,1
32,Pre-Flop,1,1307,-1307,DISCARD,0,"['As', '2h']","['2s', '7h']","['Ah', '8h']",,,2,2
32,Pre-Flop,1,1307,-1307,FOLD,0,"['As', '2h']","['6h', '7h']","['Ah', '8h']",,2s,2,2
33,Pre-Flop,1,1309,-1309,DISCARD,0,"['As', '8d']","['7s', '2s']","['5s', '9d']",,,1,1
33,Pre-Flop,1,1309,-1309,RAISE,53,"['As', '8d']","['9s', '2s']","['5s', '9d']",,7s,1,1
33,Pre-Flop,0,1309,-1309,RAISE,45,"['As', '8d']","['9s', '2s']","['5s', '9d']",,7s,2,2
33,Pre-Flop,1,1309,-1309,CALL,0,"['As', '8d']","['9s', '2s']","['5s', '9d']",,7s,55,55
33,Pre-Flop,0,1309,-1309,CHECK,0,"['As', '8d']","['9s', '2s']","['5s', '9d']",,7s,100,100
33,Flop,1,1309,-1309,FOLD,0,"['As', '8d']","['9s', '2s']","['5s', '9d', '4h']",,7s,100,100
34,Pre-Flop,0,1409,-1409,RAISE,98,"['6d', '8s']","['4s', '7h']","['3s', '8h']",,,1,1
34,Pre-Flop,1,1409,-1409,CALL,0,"['6d', '8s']","['4s', '7h']","['3s', '8h']",,,2,2
34,Flop,0,1409,-1409,CHECK,0,"['6d', '8s']","['4s', '7h']","['3s', '8h', '2h']",,,100,100
34,Flop,1,1409,-1409,CHECK,0,"['6d', '8s']","['4s', '7h']","['3s', '8h', '2h']",,,100,100
34,Turn,0,1409,-1409,CHECK,0,"['6d', '8s']","['4s', '7h']","['3s', '8h', '2h', '9h']",,,100,100
34,Turn,1,1409,-1409,FOLD,0,"['6d', '8s']","['4s', '7h']","['3s', '8h', '2h', '9h']",,,100,100
35,Pre-Flop,1,1509,-1509,RAISE,35,"['8s', '4h']","['As', '7h']","['3h', '4s']",,,1,1
35,Pre-Flop,0,1509,-1509,RAISE,63,"['8s', '4h']","['As', '7h']","['3h', '4s']",,,2,2
35,Pre-Flop,1,1509,-1509,CALL,0,"['8s', '4h']","['As', '7h']","['3h', '4s']",,,37,37
35,Pre-Flop,0,1509,-1509,CHECK,0,"['8s', '4h']","['As', '7h']","['3h', '4s']",,,100,100
35,Flop,1,1509,-1509,DISCARD,0,"['8s', '4h']","['As', '7h']","['3h', '4s', '2d']",,,100,100
35,Flop,1,1509,-1509,CHECK,0,"['8s', '4h']","['7d', '7h']","['3h', '4s', '2d']",,As,100,100
35,Flop,0,1509,-1509,CHECK,0,"['8s', '4h']","['7d', '7h']","['3h', '4s', '2d']",,As,100,100
35,Turn,1,1509,-1509,CHECK,0,"['8s', '4h']","['7d', '7h']","['3h', '4s', '2d', 'Ah']",,As,100,100
35,Turn,0,1509,-1509,CHECK,0,"['8s', '4h']","['7d', '7h']","['3h', '4s', '2d', 'Ah']",,As,100,100
35,River,1,1509,-1509,FOLD,0,"['8s', '4h']","['7d', '7h']","['3h', '4s', '2d', 'Ah', '5s']",,As,100,100
36,Pre-Flop,0,1609,-1609,RAISE,98,"['8h', '7h']","['8d', '3s']","['5d', '9s']",,,1,1
36,Pre-Flop,1,1609,-1609,FOLD,0,"['8h', '7h']","['8d', '3s']","['5d', '9s']",,,2,2
37,Pre-Flop,1,1611,-1611,DISCARD,0,"['8d', '5h']","['Ah', 'Ad']","['4s', 'As']",,,1,1
37,Pre-Flop,1,1611,-1611,FOLD,0,"['8d', '5h']","['Ah', '6s']","['4s', 'As']",,Ad,1,1
38,Pre-Flop,0,1612,-1612,RAISE,98,"['5s', '8d']","['9d', '3h']","['9s', '8h']",,,1,1
38,Pre-Flop,1,1612,-1612,CALL,0,"['5s', '8d']","['9d', '3h']","['9s', '8h']",,,2,2
38,Flop,0,1612,-1612,CHECK,0,"['5s', '8d']","['9d', '3h']","['9s', '8h', '7h']",,,100,100
38,Flop,1,1612,-1612,FOLD,0,"['5s', '8d']","['9d', '3h']","['9s', '8h', '7h']",,,100,100
39,Pre-Flop,1,1712,-1712,CALL,0,"['6d', '5s']","['4s', '5h']","['4d', '7h']",,,1,1
39,Pre-Flop,0,1712,-1712,RAISE,98,"['6d', '5s']","['4s', '5h']","['4d', '7h']",,,2,2
39,Pre-Flop,1,1712,-1712,DISCARD,0,"['6d', '5s']","['4s', '5h']","['4d', '7h']",,,2,2
